date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-10-25 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,-101.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0088,0.1431,0.1725,-0.0252,2.0060,0.1608,10002.7785,0.0032,0.0008426949557315913,0.28426397561787736
2022-10-27 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1431,0.1721,-0.0252,1.3817,0.1517,10070.0582,0.0067,0.0009113816643169191,0.2707586624299521
2022-10-28 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1431,0.1717,-0.0252,0.2156,0.1227,10091.0671,0.0021,0.000556104307726903,0.22921654294216184
2022-10-31 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1431,0.1713,-0.0252,0.5191,0.1214,10215.6748,0.0123,-8.092882257167066e-06,0.1040829315955816
2022-11-01 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1431,0.1709,-0.0252,0.5191,0.1214,10287.7176,0.0071,0.00012238260708658593,0.1290547361723445
2022-11-02 00:00:00+05:30,11430.9400,11430.9400,0.0000,0.0000,10000.0000,0.0000,0.0000,1430.9400,1430.9400,11430.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1431,0.1705,-0.0252,0.5191,0.1214,10247.6560,-0.0039,0.0001503373463093291,0.1313687645714864
2022-11-03 00:00:00+05:30,11466.7100,11466.7100,0.0000,0.0000,10000.0000,0.0000,0.0000,1466.7100,1466.7100,11466.7100,0.0000,0.0000,35.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0031,0.1467,0.1701,-0.0221,0.6119,0.1215,10234.0186,-0.0013,0.00020036793154399587,0.13015434421417033
2022-11-04 00:00:00+05:30,11466.7100,11466.7100,0.0000,0.0000,10000.0000,0.0000,0.0000,1466.7100,1466.7100,11466.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1467,0.1697,-0.0221,0.9349,0.1199,10279.2970,0.0044,0.00019649733949774956,0.13011222702539865
2022-11-07 00:00:00+05:30,11466.7100,11466.7100,0.0000,0.0000,10000.0000,0.0000,0.0000,1466.7100,1466.7100,11466.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1467,0.1693,-0.0221,0.9349,0.1199,10322.0804,0.0042,0.00033562755660747367,0.12519282281155403
2022-11-09 00:00:00+05:30,11384.5100,11384.5100,0.0000,0.0000,10000.0000,0.0000,0.0000,1384.5100,1384.5100,11384.5100,0.0000,0.0000,-82.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0072,0.1385,0.1691,-0.0291,0.6945,0.1209,10275.4127,-0.0045,0.00022459432986106316,0.13249522914135636
2022-11-10 00:00:00+05:30,11384.5100,11384.5100,0.0000,0.0000,10000.0000,0.0000,0.0000,1384.5100,1384.5100,11384.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1385,0.1687,-0.0291,0.6945,0.1209,10227.6394,-0.0046,0.00025907925062581194,0.13474332336292957
2022-11-11 00:00:00+05:30,11530.9500,21466.9500,-9936.0000,-10082.4400,10000.0000,0.0000,146.4400,1384.5100,1530.9500,11530.9500,0.0000,0.0000,146.4400,0.8600,-0.8600,9936.0000,-9936.0000,0.0000,9936.0000,0,1,0.0129,0.1531,0.1689,-0.0166,1.1174,0.1237,10408.2425,0.0177,0.0004049003011635415,0.16725236021716358
2022-11-14 00:00:00+05:30,11593.4900,11593.4900,0.0000,0.0000,10000.0000,0.0000,0.0000,1593.4900,1593.4900,11593.4900,0.0000,0.0000,62.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0054,0.1593,0.1686,-0.0113,1.3762,0.1239,10388.3677,-0.0019,0.0005172466757387108,0.1663375342629968
2022-11-15 00:00:00+05:30,11593.4900,11593.4900,0.0000,0.0000,10000.0000,0.0000,0.0000,1593.4900,1593.4900,11593.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1593,0.1682,-0.0113,1.3762,0.1239,10445.8091,0.0055,0.000548859037393312,0.16675247898746373
2022-11-16 00:00:00+05:30,11593.4900,11593.4900,0.0000,0.0000,10000.0000,0.0000,0.0000,1593.4900,1593.4900,11593.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1593,0.1678,-0.0113,1.3762,0.1239,10436.3395,-0.0009,0.000570013830579321,0.16913928661455194
2022-11-17 00:00:00+05:30,11593.4900,11593.4900,0.0000,0.0000,10000.0000,0.0000,0.0000,1593.4900,1593.4900,11593.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1593,0.1674,-0.0113,1.3762,0.1239,10396.1362,-0.0039,0.0005957684498498638,0.17059608095548384
2022-11-18 00:00:00+05:30,11563.6700,11563.6700,0.0000,0.0000,10000.0000,0.0000,0.0000,1563.6700,1563.6700,11563.6700,0.0000,0.0000,-29.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0026,0.1564,0.1670,-0.0138,1.4439,0.1236,10379.3517,-0.0016,0.0005626988430869169,0.17197667747565124
2022-11-21 00:00:00+05:30,11563.6700,11563.6700,0.0000,0.0000,10000.0000,0.0000,0.0000,1563.6700,1563.6700,11563.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1564,0.1666,-0.0138,1.4439,0.1236,10296.3366,-0.0080,0.0006257407838654206,0.16324003136613963
2022-11-22 00:00:00+05:30,11483.4600,11483.4600,0.0000,0.0000,10000.0000,0.0000,0.0000,1483.4600,1483.4600,11483.4600,0.0000,0.0000,-80.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0069,0.1483,0.1664,-0.0207,1.2000,0.1246,10349.3835,0.0052,0.0004658590362566621,0.16008620972088033
2022-11-23 00:00:00+05:30,11483.4600,11483.4600,0.0000,0.0000,10000.0000,0.0000,0.0000,1483.4600,1483.4600,11483.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.1483,0.1660,-0.0207,0.9152,0.1235,10350.8578,0.0001,0.0004837055017156772,0.16246257811593626
